cdb_code,name,pos_type,priority,address,city,county,department,district,territory,warehouse,chain,contractor,telephone,mobile,is_active
60-060859,ΤΡΟΥΜΟΥΣΗΣ ΧΡΗΣΤΟΣ,ΨΙΛΙΚΟ,Strategic,ΑΡΙΣΤΩΝΟΣ 4,ΚΩΣ,ΔΩΔΕΚΑΝΗΣΑ,ΝΗΣΙΑ ΑΙΓΑΙΟΥ,CENTRAL (DKR),C_09. ΛΑΖΟΥ,ΤΟΜΑΡΑΣ ΘΕΟΔΩΡΟΣ Κ ΣΙΑ ΟΕ,NA,JTI,2242025433,,True
60-088834,24SHOPEN ΕΥΡΥΔΑΜΑΝΤΟΣ,CONVENIENCE,Strategic,ΕΥΡΥΔΑΜΑΝΤΟΣ 28,ΝΕΟΣ ΚΟΣΜΟΣ,Π.Ε. ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗ,CENTRAL (DKR),C_03. ΜΠΑΛΑΜΑΤΣΗ,ΚΑΠΝΟΣ Α.Ε,24 SHOPEN,JTI,2168001930,,True
60-084862,24SHOPEN ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ,CONVENIENCE,BaseLine,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ 131,ΑΘΗΝΑ,Π.Ε. ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗ,EAST (NF),E_07. ΠΑΝΑΓΟΠΟΥΛΟΥ,ΔΗΜΗΤΡΙΟΣ ΑΛΕΞΙΟΥ A.E,24 SHOPEN,JTI,2168090037,6948085644,True
60-082843,ΓΚΟΛΟΣΗΣ Κ. ΗΛΙΑΣ,ΠΕΡΙΠΤΕΡΟ,,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ 35,ΠΑΛΑΙΟ ΦΑΛΗΡΟ,Π.Ε. ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗ,NA,CENTRAL (DKR),C_03. ΜΠΑΛΑΜΑΤΣΗ,,JTI,,,True
60-062948,ΠΕΡΙΠΤΕΡΟ Λ. ΠΑΠΑΓΟΥ 87 Ε.Ε,ΠΕΡΙΠΤΕΡΟ,,Λ. ΣΤΡΑΤΑΡΧΟΥ ΠΑΠΑΓΟΥ 87,ΖΩΓΡΑΦΟΣ,Π.Ε. ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗ,NA,EAST (NF),E_07. ΠΑΝΑΓΟΠΟΥΛΟΥ,,,,,True
60-053138,ΠΕΡΙΠΤΕΡΟ ΑΡΙΣΤΟΜΕΝΟΥΣ ΙΚΕ,ΠΕΡΙΠΤΕΡΟ,,ΑΡΙΣΤΟΜΕΝΟΥΣ 55,ΚΑΛΑΜΑΤΑ,Π.Ε. ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,NA,WEST (STK),W_08. ΚΑΛΛΙΝΤΕΡΗ,Β.ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΥ & ΙΚΕ,,,,True
60-100176,SOTA ANI ΥΠΟΚ,ΠΕΡΙΠΤΕΡΟ,,ΑΡΧΙΔΑΜΟΥ 80,ΣΠΑΡΤΗ,Π.Ε. ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΣ,NA,WEST (STK),W_08. ΚΑΛΛΙΝΤΕΡΗ,,2723108304,,,True
60-060078,ΜΑΡΝΕΛΛΟΣ Γ. & ΣΙΑ Ε.Ε.,ΨΙΛΙΚΟ,,ΑΝΑΓΝΩΣΤΟΥ ΓΟΓΟΝΗ 80,ΧΑΝΙΑ,Π.Ε. ΧΑΝΙΩΝ,ΚΡΗΤΗ,NA,EAST (NF),E_09_ΖΟΥΓΡΑ,,,,,True
60-083397,ΚΟΜΝΗΝΑΡΑΣ Γ. ΝΕΚΤΑΡΙΟΣ,ΨΙΛΙΚΟ,,ΓΑΜΒΕΤΑ 92,ΘΕΣΣΑΛΟΝΙΚΗ,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗ,NA,NORTH (TKO),N_T03. ΒΟΛΟΓΙΑΝΝΗ,,2310819000,,,True
60-100962,COFFEE KAMARA E.E.,COFFEE ISLAND,,ΕΓΝΑΤΙΑΣ 117 ΚΑΙ ΙΑΣΩΝΙΔΟΥ,ΘΕΣΣΑΛΟΝΙΚΗ,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗ,,,,,,,,True
60-089532,ΓΡΗΓΟΡΙΑΔΗ Σ. ΚΑΙ Π. ΑΦΟΙ ΟΕ,CONVENIENCE,,ΚΑΡΑΟΛΗ ΚΑΙ ΔΗΜΗΤΡΙΟΥ  33,ΘΕΣΣΑΛΟΝΙΚΗ,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗ,4ALL (I.S.N.   A.E.),NORTH (TKO),N_T05. ΚΕΦΑΛΙΔΗ,,2310542415,,,True
